OBJECTID	ADDRESS	CROSSST	SITEDETAIL	SPACELENG	STSIDE	CURBQUAL	POSTID	LASTFIELDC	MTAB_DATE	MTAB_MOTION	GLOBALID	MTAB_RESO_TEXT	shape	Neighborhoods	SF Find Neighborhoods	Current Police Districts	Current Supervisor Districts	Analysis Neighborhoods
218				0									POINT (-122.43182 37.771862)	26	26	4	11	9
381				0									POINT (-122.46407 37.769695)	9	9	8	11	12
126	5157 Diamond Heights Blvd	Duncan/Carnelia	From the east property line to 65' east	65	N	good							POINT (-122.44002 37.74657)	57	57	3	5	22
398	1523 Ocean Ave	Capitol		22	S								POINT (-122.45896 37.724384)	64	64	10	8	24
832				0									POINT (-122.39415 37.789707)	32	32	1	10	8
704	Valencia Street & 15th Street	15th Street	from 21 feet to 43 feet south of 15th Street (enacted 1/19/2016)	22	W								POINT (-122.42212 37.766262)	37	37	3	5	20
879	1465 Powell Street	Vallejo Street	West side, from 5 feet to 27 feet south of Vallejo replacing metered stall #1431 (22-foot zone).	22	W				20170307000000	170307-025			POINT (-122.41049 37.798218)	107	107	6	3	6
271	Grove	Van Ness	SW corner of intersection	0	S								POINT (-122.420494 37.77808)	21	21	4	11	9
298				0									POINT (-122.419685 37.75532)	53	53	3	2	20
422	199 Vallejo St	Battery	0' to 18' east of Battery	18	S	good		19950701000000					POINT (-122.400986 37.79949)	77	77	6	3	8
335				0									POINT (-122.45788 37.76681)	9	9	7	11	12
109	229 Jackson St	Battery	5-27' east of Battery	22	S								POINT (-122.40045 37.796757)	77	77	6	3	8
386				0									POINT (-122.47764 37.720913)	42	42	10	8	16
804	595 Madrid Street	Russia Ave	east side, from 28 feet to 40 feeth north of russia	20	east				20180116000000			ESTABLISH – BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES “595” Madrid Street, east side, from approximately 28 feet to 40 feet north of Russia Avenue (20-foot zone) Exact dimensions to correspond with post-construction stall markings	POINT (-122.43384 37.720154)	90	90	9	1	7
148	700 Font Blvd	Tapia	5' to 71' west of Tapia	66	N	good							POINT (-122.482216 37.721973)	42	42	10	8	16
294				0									POINT (-122.41745 37.807095)	99	99	6	3	23
77	695 Jackson St	Grant	4 to 23' east of Grant	19	S								POINT (-122.406494 37.795998)	104	104	6	3	6
603	BEALE ST	Bryant	SE corner of intersection	0	NE		816-05610	20110324000000					POINT (-122.38865 37.78554)	31	31	1	10	8
417	SLOAT BLVD	46th Ave	S side of median	0	s		765-27590	20110324000000					POINT (-122.50413 37.735435)	43	43	10	8	16
114	22 Lake St	Arguello	From the northwest corner 22' west	22	N								POINT (-122.45938 37.787205)	4	4	8	6	11
306				0									POINT (-122.38757 37.77582)	34	34	1	10	4
285				0									POINT (-122.39294 37.7933)	108	108	1	10	8
250				0									POINT (-122.478424 37.76358)	39	39	10	7	35
208				0									POINT (-122.493835 37.770336)	9	9	8	4	12
92	100 Grove St	Hyde	22' to 42' west of Hyde	20	N	good		19960417000000					POINT (-122.41856 37.778538)	21	21	4	10	36
583	Pacific Ave. & Montgomery	Montgomery Street	from 12 feet to 34 feet west of Montgomery (enacted 9/2/2014)	22	North								POINT (-122.403786 37.79733)	106	106	6	3	23
357	4th Street & Mission Bay Boulevard North	Mission Bay Boulevard North	from 3 feet to 23 feet north of Mission Bay Boulevard North (enacted 1/6/2015)	20	East								POINT (-122.39115 37.771103)	34	34	1	10	4
685				0									POINT (-122.42211 37.80555)	98	98	6	6	32
915	Howard Street	9th St	Howard Street, north side, from 16 feet to 36 feet west of 9th Street	20	north				20181116000000	181016-139			POINT (-122.41371 37.77465)	32	32	1	10	34
864				0									POINT (-122.387505 37.775753)	34	34	1	10	4
647				0									POINT (-122.39721 37.789223)	32	32	1	10	8
433	710 Washington St	Kearny	2' to 20' west of Kearny	18	N	good		19970826000000					POINT (-122.40516 37.79534)	104	104	6	3	6
245				0									POINT (-122.39828 37.79725)	77	77	6	3	8
662	Minna St. & 2nd Street	2nd Street	from 32 feet to 53 feet west of 2nd Street (enacted 8/18/2015)	21	North								POINT (-122.39954 37.787384)	32	32	1	10	8
532	1700 Holloway Av	Arrellano	West from west crosswalk	22	N								POINT (-122.47915 37.720963)	42	42	10	8	16
870	788 Kirkwood Ave	Dormitory Rd	"One part of two sections blue established by the same resolution letter. """	20	north				20170606000000	170606-067			POINT (-122.3739 37.729115)	78	78	2	9	1
448	1402 Pine St	Larkin	0' to 20' west of Larkin	20	N	good		19950227000000					POINT (-122.41901 37.78987)	105	105	4	3	21
741	5020 Mission St	Seneca	15' to 33' south of Seneca	18	W	good		19960925000000					POINT (-122.440285 37.717567)	80	80	9	1	28
49	3838 California St	Cherry	120' to 142' west of Cherry	22	N	good		19920409000000					POINT (-122.45721 37.786022)	10	10	8	6	31
537	324 Divisadero St	Page	91' to 111' north of Page	20	E	poor		19920413000000					POINT (-122.437195 37.77261)	26	26	4	11	3
223				0									POINT (-122.3988 37.763775)	54	54	2	9	26
827				0									POINT (-122.45423 37.77185)	9	9	7	4	12
483	600 Harrison	Vassar Place	from 4 feet to 25 feet east of Vassar Place (enacted 4/1/2014)	21	South								POINT (-122.39561 37.783905)	32	32	1	10	8
622	800 Brannan St.	7th Street	from 10 feet to 28 feet west of 7th Street (enacted 4/1/2014)	18	North								POINT (-122.40341 37.773)	33	33	1	10	34
922																		
859				0									POINT (-122.432495 37.791096)	102	102	4	6	30
162	5000 Geary Blvd	14th Ave	15' to 35' west of 14th Ave	20	N	good		19960607000000					POINT (-122.47306 37.780754)	5	5	8	4	29
475	O'Farrell Street & Stockton Street	Stockton Street	from 15 feet to 37 feet east of Stockton Street (enacted 6/16/2015)	22	South								POINT (-122.40601 37.78662)	19	19	6	3	8
781	1701 Visitacion		from 5 feet to 39 feet west of crosswalk (enacted 4/15/2014)	34	South								POINT (-122.41548 37.713478)	73	73	9	9	19
848		Chestnut St	Pierce St Garage - metered spaces	0			916-00010						POINT (-122.43929 37.800182)	17	17	4	6	13
1	850 Bryant St	Harriet	0-44' east of Harriet	44	N	good		19960108000000					POINT (-122.403946 37.775032)	32	32	1	10	34
344				0									POINT (-122.468124 37.772583)	9	9	8	4	12
822	1881 Geary Blvd	Steiner	south side, from 23 feet to 47 feet east of Steiner Street (rescinds green metered parking space #1843-G)	24	south		#1843-G		20180904000000	180904-122		ESTABLISH – BLUE ZONE –  Geary Boulevard, south side, from 23 feet to 47 feet east of Steiner Street (rescinds green metered parking space #1843-G);	POINT (-122.43426 37.78398)	97	97	4	11	39
652				0									POINT (-122.387436 37.77583)	34	34	1	10	4
504				0									POINT (-122.44252 37.76598)	112	112	7	5	3
200				0									POINT (-122.507805 37.76727)	9	9	8	4	12
875	2300 Union STREET	Steiner	north side from Steiner 20 feet west	20	north				20170221000000	170321-030			POINT (-122.437325 37.7969)	14	14	4	6	13
104	1600 Holloway Av	Cardenas	6' to 28' west of west side of d/way to Admin Bldg	22	N								POINT (-122.477196 37.720898)	42	42	10	8	16
866	100 West Portal Ave	Vicente			North				20170606000000	170606-067			POINT (-122.46736 37.739506)	46	46	10	8	41
370	Pacific Ave. & Front Street	Front Street	Pacific Avenue, north side, from 13 feet to 35 feet west of Front Street (enacted 9/2/2014)	22	North								POINT (-122.39994 37.797817)	77	77	6	3	8
769	100 Buchanan St	Hermann	15' to 33' north of Hermann	18	E	good		19980124000000					POINT (-122.426735 37.770836)	27	27	7	5	9
841	MISSION ST	Cesar Chavez	SW corner of intersection	0	W		568-31040	20110324000000					POINT (-122.41848 37.74791)	83	83	9	2	2
918	1324 Columbus Ave	Leavenworth	DISABLED PARKING ONLY, AT ALL TIMES – “1324” Columbus Avenue, east side, from 10 feet to 32 feet north of Leavenworth Street.	22	east		1322		20180904000000	180904-122		REVOKE – BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES – “2850” Leavenworth Street, east side, from 8 feet to 32 feet north of midblock crosswalk, extending adjacent Tour Bus Loading Zone.	POINT (-122.41898 37.806473)	99	99	6	6	32
543	5999 Geary Blvd	24th Ave	19' to 36' east of 24th Ave	17	S	good		19960607000000					POINT (-122.48343 37.78001)	8	8	8	4	29
786	Beale Street & Folsom Street	Folsom Street	Beale Street, west side, from 33’ to 53’ south of Folsom Street (enacted 9/6/2016)	20	W								POINT (-122.39258 37.78845)	30	30	1	10	8
72	1825 Mission St	14th St	101' to 122' south of 14th St	21	E	poor		19920415000000					POINT (-122.419846 37.767956)	53	53	3	2	20
130	2 Dorado St	Ocean	0' to 24' north of Ocean	24	E	good		19970404000000					POINT (-122.46105 37.72509)	68	68	10	8	41
669				0									POINT (-122.423615 37.806305)	98	98	6	6	32
26	555 7th St	Brannan	north of Brannan	22	E			19941114000000					POINT (-122.40424 37.774002)	32	32	1	10	34
311				0									POINT (-122.39916 37.800663)	77	77	6	3	8
166	220 VAN NESS AVE	Lech Walesa	NE corner of intersection	0	E		701-02200	20110414000000					POINT (-122.41963 37.777893)	21	21	4	10	36
178	618 Beach St	Columbus	4' to 28' east of the west crosswalk	24	N								POINT (-122.4197 37.806812)	99	99	6	6	32
6	2850 19th Ave	Wawona	41' to 63' south of north property line	22	E	good							POINT (-122.475006 37.73551)	46	46	10	8	41
185	2222 Broadway	Fillmore	111'-163' east of Fillmore	52	N								POINT (-122.43408 37.794456)	102	102	4	6	30
730	3199 22nd St	Mission	10' to 55' east of Mission	45	S	poor		19920415000000					POINT (-122.41849 37.75539)	53	53	3	2	20
407				0									POINT (-122.41208 37.764153)	53	53	3	2	20
144	50 California St	Davis	37' to 66' east of Davis	29	N	good		19970816000000					POINT (-122.39735 37.793613)	108	108	6	3	8
564				0									POINT (-122.43944 37.784275)	103	103	4	11	15
323				0									POINT (-122.479515 37.770527)	9	9	8	4	12
67	499 McAllister St	Van Ness	86' to 100' east of Van Ness (1 diagonal space)	14	S	good		19920409000000					POINT (-122.42043 37.78024)	21	21	4	11	39
233				0									POINT (-122.41808 37.772114)	32	32	1	10	20
339				0									POINT (-122.46879 37.769108)	9	9	8	4	12
24	398 7th Ave	Geary	0' to 18' north of Geary	18	E	good		19960418000000					POINT (-122.46529 37.781197)	5	5	8	4	11
640				0									POINT (-122.44215 37.78282)	13	13	8	6	39
31	30 8th St	Stevenson	2' to 20' south of Stevenson	18	W	good		19960718000000					POINT (-122.414116 37.778103)	32	32	5	10	34
745	102 Front St	Pine	Pine to 26' north	26	E								POINT (-122.39853 37.792557)	108	108	6	3	8
170	2614 JONES ST	Bay	NE corner of intersection	0	E		502-26140	20110810000000					POINT (-122.41689 37.805634)	99	99	6	3	23
265	50 Spear St	Mission	134' to 156' north of Mission	22	W								POINT (-122.39456 37.792843)	108	108	6	10	8
796	200 Folsom St	Main	96' to 116' west of Main	20	N								POINT (-122.39246 37.788998)	108	108	1	10	8
909	204 Scott St	Haight St							20190205000000	190205-010		ESTABLISH – BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES - “204” Scott Street, east side, from 5 feet to 27 feet north of Haight Street	POINT (-122.43533 37.771553)	26	26	4	11	3
758	2 Blake St	Geary	0' to 18' north of Geary	18	E	good		19960417000000					POINT (-122.4511 37.78222)	11	11	8	6	31
159	4700 Geary Blvd	11th Ave	14' to 36' west of 11th Ave	22	N	good		19960606000000					POINT (-122.46986 37.7809)	5	5	8	4	11
444	30 Pearl St	Pink Alley	21' to 42' north of Pink Alley	21									POINT (-122.42395 37.770794)	27	27	1	5	20
569	Montgomery St. & Jackson Street	Jackson Street	Montgomery Street, west side, from 7 feet to 29 feet south of Jackson Street (enacted 9/2/2014)	22	West								POINT (-122.40352 37.79625)	106	106	6	3	6
686				0									POINT (-122.41882 37.758595)	53	53	3	2	20
429	191 Van Ness Ave	Hayes	7' to 30' south of Hayes	23	W								POINT (-122.4198 37.777122)	21	21	4	11	9
524	Herbst Road	Armory Drive	Herbst Road, south side, from 288 feet to 297 feet east of Armory Drive (enacted 4/1/2014, relocated)	9									POINT (-122.50154 37.73059)	43	43	10	8	16
99	1440 Harrison St	10th St	2' to 24' west of driveway	22	N								POINT (-122.41194 37.771168)	32	32	1	10	34
812	Main St	Harrison	NE side of intersection	25	E			20180205000000	20180116000000	180116-003		C. ESTABLISH - BLUE ZONE - Spear Street, from 42 feet south of Harrison Street to 25 feet southerly; and Main Street, east side, from 40 feet north of Harrison Street to 25 feet northerly	POINT (-122.39043 37.78834)	30	30	1	10	8
680				0									POINT (-122.422455 37.781277)	100	100	4	11	39
627	Ortega Street & 40th Avenue	40th Avenue	from 20 feet east of 40th Avenue to 20 feet easterly (enacted 4/15/2014)	20	South								POINT (-122.498665 37.751324)	39	39	10	7	35
165	318 FRONT ST	Clay	SE corner of intersection	0	E		422-03180	20110414000000					POINT (-122.398994 37.79491)	108	108	6	3	8
41	382 18th Ave	Geary	76' to 101' north of Geary	25	E	poor		19920415000000					POINT (-122.47717 37.78069)	5	5	8	4	29
290				0									POINT (-122.433495 37.787582)	101	101	4	11	30
461	1200 Powell St	Jackson	10' to 32' north of Jackson	22	E								POINT (-122.40983 37.79578)	104	104	6	3	6
12	258 Noe Street	Beaver	19'-37' south of Beaver	18	W			19940628000000					POINT (-122.43323 37.76487)	28	28	7	5	5
599	20TH ST	Valencia	NW corner of intersection	0	N		220-36040	20110324000000					POINT (-122.42153 37.758522)	37	37	3	5	20
710	685 Lyon Street	McAllister Street	from 15 feet to 35 feet south of McAllister Street (enacted 3/1/2016)	20	W								POINT (-122.44335 37.77701)	97	97	7	11	18
71	3120 Mission St	Army	4' to 48' south of north property line	44	W								POINT (-122.418625 37.747684)	83	83	9	2	2
491				0									POINT (-122.40266 37.80418)	77	77	6	3	8
204				0									POINT (-122.50265 37.767582)	9	9	8	4	12
756	2141 POST ST	Scott	SE corner of intersection	0	S		614-21410	20110901000000					POINT (-122.437836 37.78448)	103	103	4	11	15
508				0									POINT (-122.39047 37.734943)	86	86	2	9	1
609	1800 Taraval St	28th Avenue	from 3 feet to 21 feet west of 28th Avenue (enacted 9/1/2015)	18	North								POINT (-122.4855 37.742702)	40	40	10	7	35
340				0									POINT (-122.46991 37.7693)	9	9	8	4	12
82	1900 Pacific Avenue	Gough	6 to 24' west of Gough Street	18	N								POINT (-122.426704 37.794422)	102	102	4	6	30
695	Capp Street & 16th Street	16th Street	from 18 feet to 38 feet south of 16th Street (enacted 1/19/2016)	20	W								POINT (-122.41875 37.764877)	53	53	3	2	20
418				0									POINT (-122.48376 37.763332)	39	39	10	7	35
181	185 Berry Street	3rd St	129' to 157' west of 3rd St	28	S			19950822000000					POINT (-122.39265 37.77622)	34	34	1	10	4
871	55 Laguna Street	Hermann Street	from 149 feet to 171 feet north of Hermann Street	22	West				20170103000000	170103-001			POINT (-122.42531 37.771313)	27	27	7	5	9
389				0									POINT (-122.4763 37.720867)	42	42	10	8	16
133	799 Duboce Ave	Castro	18' to 36' east of Castro	18	S	good		19960705000000					POINT (-122.43548 37.76899)	28	28	7	5	5
410	HERBST	Skyline	SE part of zoo	0	E		767-00200	20110324000000					POINT (-122.5019 37.72932)	43	43	10	8	16
734	1298 8th Ave	Irving	6' to 24' north of Irving	18	E	good		19960418000000					POINT (-122.46517 37.764267)	109	109	10	11	14
496				0									POINT (-122.46549 37.769047)	9	9	8	4	12
788	110 5th St	Mission	0 to 21' south of Mission	21	W								POINT (-122.40637 37.782555)	32	32	1	10	34
378				0									POINT (-122.41113 37.752724)	53	53	3	2	20
53	99 Capp St	16th St	0' to 18' north of 16th St	18	E	good		19960401000000					POINT (-122.41851 37.765297)	53	53	3	2	20
509				0									POINT (-122.42228 37.766567)	37	37	3	5	20
677	2707 Pine St	Divisadero	49' to 71' west of east property line	22	S								POINT (-122.4405 37.787006)	103	103	8	6	30
141	1200 Fillmore St	Turk	11' to 30' north of Turk	19	E	good		19950401000000					POINT (-122.4321 37.780678)	97	97	4	11	39
399	729 Divisadero	Bush		22	W								POINT (-122.440125 37.786015)	103	103	4	6	30
327				0									POINT (-122.47131 37.773075)	9	9	8	4	12
754	4225 Geary Blvd	6th Ave	From east property line 22' west	22	S								POINT (-122.46477 37.780857)	5	5	8	4	11
785	Dolores Street & 18th Street	18th Street	from 60 feet to 80 feet south of 18th St. (enacted 1/5/2016)	20	W								POINT (-122.42618 37.761143)	37	37	3	5	5
48	3750 California St	Cherry	0' to 20' east of Cherry	20	N	good		19920409000000					POINT (-122.456566 37.786083)	10	10	8	6	31
318	Grove			0									POINT (-122.417984 37.778416)	21	21	4	10	36
434	1510 Webster St	Geary	2' to 22' north of Geary	20	E	good		19950701000000					POINT (-122.4311 37.78488)	101	101	4	11	15
793	500 Hayes St	Octavia	8' to 27' west of Octavia	19	N	none		19920526000000					POINT (-122.4248 37.776707)	22	22	4	11	9
749	99 Union St	Battery	0' to 18' east of Battery	18	S	good		19950701000000					POINT (-122.401405 37.801342)	77	77	6	3	8
20	5815 3rd St	Carroll	75' south of the north propertyline to 97'	22	E	poor							POINT (-122.394104 37.725357)	88	88	2	9	1
636				0									POINT (-122.42237 37.791443)	105	105	4	3	21
800	398 20th Ave	Geary	5' to 25' north of Geary	20	E	good		19960607000000					POINT (-122.47931 37.780586)	8	8	8	4	29
565				0									POINT (-122.44791 37.78801)	10	10	8	6	31
816	225 Valencia Street	Clinton Park	225 Valencia Street, east side, from 8 feet to 26 feet north of Clinton Park	18	east								POINT (-122.42219 37.769333)	53	53	3	2	20
169	213 THE EMBARCADERO	Washington	NE corner of intersection	0	E		830-02130	20110414000000					POINT (-122.39548 37.79715)	77	77	6	3	8
155	350 Front St	Clay	78' to 110' south of Clay	32	E	good		19960209000000					POINT (-122.39895 37.794655)	108	108	6	3	8
467	599 Irving St.	7th Avenue	from 7th Avenue to 20 feet easterly (enacted 8/18/2015)	20	South								POINT (-122.46401 37.764065)	109	109	7	11	14
614	Fern Street & Polk Street	Polk Street	from 4 feet to 30 feet west of Polk Street (enacted 3/3/2015)	26	South								POINT (-122.42038 37.78817)	50	50	4	3	21
655				0									POINT (-122.4796 37.770668)	9	9	8	4	12
573	Van Ness Ave. & McAllister Street	McAllister Street	from 112 feet to 132 feet south of McAllister Street (enacted 11/18/2014)	20	West								POINT (-122.42038 37.77972)	21	21	4	11	9
286				0									POINT (-122.39667 37.79629)	108	108	6	3	8
115	2300 Sutter St	Scott	From Scott to 20' west	20	N								POINT (-122.43838 37.785484)	103	103	4	6	30
528	80 Miramar Av	Grafton	7' to 27' north of south property line	22									POINT (-122.45804 37.719658)	64	64	10	1	24
36	699 14th St	Market	9' to 31' east of Market	22	S	good		19940628000000					POINT (-122.428276 37.767708)	37	37	3	5	5
619	1500 Pine St.	Polk Street	5' to 25' west of Polk St. (enacted 1/7/2014)	20	North								POINT (-122.42074 37.789658)	105	105	4	3	21
688	Kearny Street and Jackon Street	Jackon Street	from 3’ to 24’ north of Jackson St. (enacted 4/5/2016)	21	E								POINT (-122.405075 37.796318)	106	106	6	3	6
613	2400 Clement St.	25th Avenue	from 30 feet to 42 feet west of 25th Avenue (enacted 11/4/2014)	12	North								POINT (-122.48515 37.782078)	8	8	8	4	29
86	300 Golden Gate Av	Hyde	87' to 112' west of Hyde	25	N	fair		19920409000000					POINT (-122.41602 37.781647)	20	20	5	10	36
352				0									POINT (-122.46634 37.77268)	9	9	8	4	12
706	0 Lapu-Lapu	Rizal Street	from 4 feet to 24 feet east of Rizal Street (enacted 4/1/2014)	20	South								POINT (-122.398865 37.782143)	32	32	1	10	34
192	3359 24th St	Bartlett	6' to 26' west of Bartlett	20	S	good		19920409000000					POINT (-122.41994 37.75208)	53	53	3	2	20
831	1520 Stockton St	Green	From north property line 22' south	22	E								POINT (-122.40902 37.799988)	106	106	6	3	23
576	300 S. Van Ness Ave.	14th Street	from 12 feet to 30 feet south of 14th Street (enacted 11/4/2014)	18	West								POINT (-122.41788 37.76822)	53	53	3	2	20
214				0									POINT (-122.45424 37.7719)	9	9	7	4	12
779	291 19th St		19' to 41' south of the north property line	22	S								POINT (-122.38766 37.760483)	55	55	2	9	26
103	1902 Geary Blvd	Steiner	130' to 150' west of Steiner	20	N	good		19960417000000					POINT (-122.43481 37.78429)	103	103	4	11	15
846				0									POINT (-122.395424 37.797085)	77	77	6	3	8
883	Irving Street	23rd Ave	north side, form 3 feet to 23 feet west of 23rd Avenue, removes meter #2202	20	north				20170307000000	170307-025			POINT (-122.48158 37.76345)	39	39	10	7	35
14	50 Palace Dr	Lyon	Right angle parking at north entrance	24									POINT (-122.44947 37.802673)	17	17	4	6	13
259	399 San Fernando Way	Ocean	From the north building to 27' south	27									POINT (-122.46969 37.7309)	63	63	10	8	41
606	OCEAN AVE	Lee	NE corner of intersection	0	N		924-00220	20110324000000					POINT (-122.4539 37.723553)	71	71	9	8	41
393				0									POINT (-122.4137 37.758995)	53	53	3	2	20
60	200 Larkin St	Fulton	8' to 29' north of Fulton	21	E	good		19920526000000					POINT (-122.41659 37.77974)	21	21	5	10	36
274	McAllister			0									POINT (-122.420555 37.77999)	21	21	4	11	9
439	700 Parker Av	McAllister	6' to 15' south of McAllister	9	E	good		19971002000000					POINT (-122.45285 37.77574)	12	12	7	4	18
644	Franklin	Fell	NE corner of intersection	0	E								POINT (-122.42109 37.776386)	21	21	4	11	9
138	926 Fillmore St	Fulton	11' to 33' north of Fulton	22	E	good		19920413000000					POINT (-122.43154 37.777966)	97	97	4	11	39
382				0									POINT (-122.48169 37.721962)	42	42	10	8	16
281				0									POINT (-122.40286 37.77997)	32	32	1	10	34
833				0									POINT (-122.38766 37.776085)	34	34	1	10	4
673				0									POINT (-122.45381 37.74383)	72	72	9	8	41
127	1234 Divisadero St	Eddy	16' to 38' north of south property line	22	E								POINT (-122.43887 37.78093)	97	97	4	11	39
152	1400 Franklin St	Sutter	0' to 20' north of Sutter	20	E	good		19980817000000					POINT (-122.42334 37.787506)	100	100	4	6	39
172	108 STEUART ST	Mission	S side of intersection	0	SW		665-01080	20110414000000					POINT (-122.39306 37.793026)	108	108	1	10	8
591	TELEGRAPH HILL BLVD	Greenwich	SW corner of intersection	0	W		789-02580	20110324000000					POINT (-122.40595 37.802685)	18	18	6	3	23
246				0									POINT (-122.41086 37.800087)	107	107	6	3	6
453	549 Polk St	Elm	6' to 26' south of Elm	20	W	good		19970327000000					POINT (-122.418945 37.7816)	21	21	4	10	36
177	999 Battery St	Green	5' to 23' south of Green	18	W	good		19950701000000					POINT (-122.40147 37.80031)	77	77	6	3	8
46	3699 19th St	Dolores	20' to 42' east of Dolores	22	S	fair		19920421000000					POINT (-122.42554 37.7598)	37	37	3	5	20
533	47 Hyde Street	McAllister	9'-29' south of McAllister	20	W			19950115000000					POINT (-122.41532 37.779896)	21	21	5	10	36
364	125 Polk St	Hemlock	6' to 28' south of Hemlock	22	W	good		19960605000000					POINT (-122.42005 37.787167)	50	50	4	3	21
538	1528 Fillmore St	O'Farrell	100' to 144' north of O'Farrell	44	E	good		19920409000000					POINT (-122.43266 37.783466)	101	101	4	11	39
305				0									POINT (-122.387505 37.775826)	34	34	1	10	4
807	597 Castro Street	19th St	east side, from 19th Street to 18 feet northerly, replacing metered parking stall #551 (18-foot zone).	18	east				20180116000000				POINT (-122.43476 37.75942)	38	38	3	5	5
474	Haight Street & Belvedere Street	Belvedere Street	from 23 feet to 43 feet east of Belvedere Street (enacted 11/18/2014)	20	South								POINT (-122.44937 37.769634)	25	25	7	11	3
353	Broadway & Polk Street	Polk Street	from 20 feet to 46 feet west of Polk Street (enacted 3/3/2015)	26	South								POINT (-122.42233 37.795788)	105	105	4	3	32
901	800 Presidio Avenue	Sutter Street		20	e				20171107000000	171107-143		N. ESTABLISH – BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES − 800 Presidio Avenue, east side, from 18 feet to 38 feet south of Sutter Street	POINT (-122.44619 37.784393)	103	103	8	11	31
212				0									POINT (-122.45421 37.771584)	9	9	7	4	12
516	9th Street & Brannan Street	Brannan Street	from Brannan Street to 34 feet southerly. (enacted 6/16/2015)	34	West								POINT (-122.40693 37.76987)	33	33	1	10	20
597	10TH ST	Market	SW side of intersection	0	W		210-00020	20110324000000					POINT (-122.41736 37.776314)	32	32	5	10	34
916	Howard Street	6th Street	Howard Street, north side, from 15 feet to 35 feet west of 9th street	20	north				20181016000000				POINT (-122.407364 37.77966)	32	32	1	10	34
643	2800 Sloat Blvd	Zoo	10' diag pkg spaces west of main zoo entrance	0	S	good							POINT (-122.50405 37.73527)	43	43	10	8	16
227				0									POINT (-122.48078 37.742737)	40	40	10	7	35
369	11th St. & Folsom Street	Folsom Street	from 5 feet to 30 feet south of Folsom Street (enacted 10/7/2014)	25	West								POINT (-122.41394 37.771782)	32	32	1	10	20
659				0									POINT (-122.46655 37.766945)	9	9	8	11	12
838	Union Street & Battery Street	Battery Street	from Battery Street to 18 feet westerly (enacted 11/14/2015)	18	South								POINT (-122.40179 37.801315)	77	77	6	3	8
737	102 California St	Davis	9' to 27' west of Davis	18	N	good		19960320000000					POINT (-122.39781 37.793552)	108	108	6	3	8
244				0									POINT (-122.40301 37.775776)	32	32	1	10	34
471	22nd Ave. & Irving Street	Irving Street	from 22 feet to 42 feet south of Irving Street (enacted 3/3/2015)	20	West								POINT (-122.48039 37.76322)	39	39	10	7	35
552				0									POINT (-122.46042 37.769802)	9	9	7	11	12
902	2450 22nd St	Potrero Ave							20190507000000	190507-046		ESTABLISH BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES, VAN ACCESSIBLE - 2450 22nd Street, north side, from 6 feet to 15 feet west of the midblock crosswalk.	POINT (-122.40532 37.756954)	54	54	3	9	20
119	504 Taylor St	Geary	6' to 28' north of Geary	22	E	good		19960822000000					POINT (-122.41145 37.7871)	50	50	6	3	36
631				0									POINT (-122.50768 37.770615)	9	9	8	4	12
32	1330 9th Ave	Irving	off-street public parking lot	20	E			19940201000000					POINT (-122.46609 37.76356)	109	109	10	11	14
670				0									POINT (-122.42653 37.76491)	37	37	3	5	5
863	2 Felton St	San Bruno	5' to 24' west of San Bruno	19	N	good		19971113000000					POINT (-122.40479 37.730034)	91	91	2	2	25
648				0									POINT (-122.40078 37.79101)	108	108	6	3	8
594	RANDOLPH ST	Ramsell	SE corner of intersection	0	S		778-03230	20110324000000					POINT (-122.465935 37.7142)	65	65	10	1	24
819	2401 31st avenue	Taraval St	DISABLED PARKING ONLY, AT ALL TIMES – 2401 31st Avenue, west side, from 3 feet to 25 feet south of Taraval Street.	22	west							K. ESTABLISH – BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES – 2401 31st Avenue, west side, from 3 feet to 25 feet south of Taraval Street.	POINT (-122.4886 37.742306)	40	40	10	7	35
464	777 Stockton St	Sacramento	6' to 47' south of Sacramento (enacted 1/6/2015)	41	W								POINT (-122.40776 37.793022)	16	16	6	3	6
742	2729 Octavia Street	Union	4' to 25' south of Union	20	W			19940628000000					POINT (-122.42894 37.797764)	15	15	4	6	13
869	10 Duncan Street	Valencia Street	L. ESTABLISH – BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES – “10” Duncan Street, north side, from 32 feet to 52 feet west of Valencia Street.	20	north				20170620000000	170620-076			POINT (-122.42054 37.74656)	83	83	9	2	2
443	350 Parnassus Av	Willard	30' to 52' west of east property line	22									POINT (-122.45604 37.764057)	110	110	7	11	14
630				0									POINT (-122.497025 37.771755)	9	9	8	4	12
482	Washington St. & Van Ness Avenue	Van Ness Avenue	from 13 feet to 35 feet east of Van Ness Avenue (enacted 3/3/2015)	22	North								POINT (-122.42246 37.793167)	105	105	4	3	32
502	Ellis St. & Cyril Magnin Street	Cyril Magnin Street	from 9 feet to 31 feet west of Cyril Magnin Street (enacted 10/21/2014)	22	North								POINT (-122.40883 37.785446)	19	19	5	10	36
324				0									POINT (-122.477516 37.76916)	9	9	8	4	12
280				0									POINT (-122.40009 37.781055)	32	32	1	10	34
