permit_number	streetname	Cross Street 1	Cross Street 2	Permit Type	Agent	AgentPhone	Permit Purpose	Approved Date	Status	cnn	permit_zipcode	permit_start_date	permit_end_date	permit_address	24/7 Contact	Inspector	CurbRampWork	X	Y	Latitude	Longitude	Location
22EXC-01946	46TH AVE	MORAGA ST		Excavation	Pacific Gas & Electric	415-695-3500	35190627R3 G GPRP RPL WEST SUNSET 3 SAN FRANCISC	06/22/2022	ACTIVE	27931000		06/27/2022	01/27/2023		4156953500	Teresa McNamara	true	5981911.25199	2103525.3901	37.754831167151785	-122.50553444387921	(37.754831167151785, -122.50553444387921)
22TOC-03694	WASHINGTON ST	OCTAVIA ST	LAGUNA ST	TempOccup	The Traffic Guys, LLC.	510 256 5800		06/22/2022	APPROVED	13436000	94109	07/01/2022	07/01/2022	2108 WASHINGTON ST	510 256 5800			6004557.88928	2116764.60799	37.79248955998858	-122.4281595229893	(37.79248955998858, -122.4281595229893)
22EXC-02954	CORTLAND AVE	BRONTE ST	BRADFORD ST	Excavation	A. Ruiz Construction Co.	4159302555	WD-2868R 1442 CORTLAND AVE	06/16/2022	ACTIVE	4437000	94110	06/20/2022	07/08/2022	1442 CORTLAND AVE	415-930-2555	Alejandro DelCalvo		6009429.56556	2097413.90785	37.739631421300885	-122.40993667163028	(37.739631421300885, -122.40993667163028)
22EXC-02716	TURK ST	TAYLOR ST	JONES ST	Excavation	CableCom	650-520-7091	246 Eddy St	06/01/2022	APPROVED	12717000	94102	06/01/2022	06/29/2022	246 EDDY ST	650-544-4467			6009232.67619	2113643.88425	37.78418419398203	-122.41176394497836	(37.78418419398203, -122.41176394497836)
22EXC-02058	LEAVENWORTH ST	SUTTER ST		Excavation	Bay Area Lightworks	415-822-2336	27 BRYANT TRANSIT RELIABILITY PROJECT, SOURCING EVENT ID NO. 0000005624	05/17/2022	APPROVED	25164000		05/20/2022	05/19/2023		415-822-2336	Mario Hernandez	true	6008275.49155	2115194.44581	37.78838791699299	-122.41518526910389	(37.78838791699299, -122.41518526910389)
19IE-01107	CHASE CT	COLUSA PL	END: 1-99 BLOCK	StrtImprov	A.R. Sanchez-Corea & Associates, Inc.	(415) 333-8080	Remove and reconstruct sidewalk and curb ramp(s) per approved plan, Additional paving and Pavement conforms to adjacent property as directed by City Inspector.   Field inspection is MANDATORY prior to excavation and pouring concrete, call 1-628-271-2000 or email dpw-bsminspects@sfdpw.org  to schedule to schedule. This permit is in conjunction with vault permit(s).	03/21/2022	ACTIVE	3907000	94103		09/15/2024	53 COLTON ST	Refer to Agent	Eric Walker		6006735.39083	2109634.68393	37.77303548881692	-122.42011905533451	(37.77303548881692, -122.42011905533451)
22EXC-02791	SICKLES AVE	HURON AVE	SEARS ST	Excavation	Pacific Gas & Electric	510-332-6331	100 Sickles Ave	06/17/2022	ACTIVE	11867000	94112	06/20/2022	07/18/2022		4156953500	Jonjo Diase		5996586.16351	2086677.20794	37.70942280755092	-122.45356835142391	(37.70942280755092, -122.45356835142391)
22EXC-01946	NORIEGA ST	46TH AVE	47TH AVE	Excavation	Pacific Gas & Electric	415-695-3500	35190627R3 G GPRP RPL WEST SUNSET 3 SAN FRANCISC	06/22/2022	ACTIVE	9681000	94122	06/27/2022	01/27/2023		4156953500	Teresa McNamara		5981778.96926	2102839.61032	37.75294042396058	-122.50594106510195	(37.75294042396058, -122.50594106510195)
22EXC-02981	VICTORIA ST	SARGENT ST	SHIELDS ST	Excavation	A. Ruiz Construction Co.	4159302555	WD-2868R  339 VICTORIA ST	06/14/2022	ACTIVE	13285000	94132	06/20/2022	07/08/2022	339 VICTORIA ST	415-930-2555	Alejandro DelCalvo		5993206.46447	2089455.95854	37.71685827011339	-122.46545077979225	(37.71685827011339, -122.46545077979225)
22EXC-01912	BERRY ST	03RD ST	04TH ST	Excavation	Mitchell Engineering. Inc.	(415) 589-7312	ONE FIBER SAN FRANCISCO-GEARY STREET DUCT INSTALLATION	04/14/2022	ACTIVE	2953000	94107	05/01/2022	07/31/2022		MICHAEL MUIRURI-415 589 7310	Marc Anthony Bura		6014818.83092	2110793.79644	37.77667028795394	-122.39223828515	(37.77667028795394, -122.39223828515)
22EXC-02826	CAYUGA AVE	SICKLES AVE		Excavation	Sonic Telecom, LLC	707-522-1000 ext. 2527	2006 Banyan Small Trench	06/15/2022	ACTIVE	21582000		06/20/2022	06/24/2022		Sonic 707-522-1000	Jonjo Diase		5996309.16548	2086968.6802	37.71020724014719	-122.45454673926757	(37.71020724014719, -122.45454673926757)
22TOC-03728	07TH ST	FOLSOM ST	CLEVELAND ST	TempOccup	Pacific Gas & Electric	510-332-6331		06/22/2022	APPROVED	372000	94103	06/28/2022	06/30/2022		800-743-5000			6010388.77575	2110831.20201	37.77652601735473	-122.40756585823635	(37.77652601735473, -122.40756585823635)
21IE-00221	KEARNY ST	JACKSON ST	COLUMBUS AVE	StrtImprov	ROSSO & BIANCO	415-291-1700	Solely for installation of TWO (2) Parklets (29'-6in Kearny, 33' on Columbus) for 20PKT-00036	06/25/2021	APPROVED	7761000	94133		06/30/2022	916 KEARNY ST	Refer to Agent	Mario Novoa		6011278.73279	2118107.42814	37.796554589536775	-122.40499966547182	(37.796554589536775, -122.40499966547182)
22EXC-01946	46TH AVE	LAWTON ST	MORAGA ST	Excavation	Pacific Gas & Electric	415-695-3500	35190627R3 G GPRP RPL WEST SUNSET 3 SAN FRANCISC	06/22/2022	ACTIVE	2024000	94122	06/27/2022	01/27/2023		4156953500	Teresa McNamara		5981899.57899	2103864.69468	37.75576211445582	-122.50559996202949	(37.75576211445582, -122.50559996202949)
21EXC-06060	STOCKTON ST	COLUMBUS AVE \ GREEN ST	UNION ST	Excavation	Esquivel Grading & Paving, Inc.	415-468 5700	Various Location Pavement Renovations No. 45 & Sewer Replacement	03/15/2022	APPROVED	12213000	94133	03/21/2022	10/20/2023		415-468-5700	Jesse Blea		6010118.98094	2119374.01431	37.799967426825575	-122.40910209743373	(37.799967426825575, -122.40910209743373)
21EXC-06060	GREEN ST	AUGUST ALY	EATON PL	Excavation	Esquivel Grading & Paving, Inc.	415-468 5700	Various Location Pavement Renovations No. 45 & Sewer Replacement	03/15/2022	APPROVED	6456000	94133	03/21/2022	10/20/2023		415-468-5700	Jesse Blea		6009365.40705	2119099.2232	37.799170674163385	-122.41169033208084	(37.799170674163385, -122.41169033208084)
22EXC-02817	WALTER ST	DUBOCE AVE	14TH ST	Excavation	Pacific Gas & Electric	707-718-0296	53 Walters st	06/17/2022	APPROVED	13386000	94114	06/29/2022	07/27/2022		415-695-3500	Jondelle Bretz		6003156.92307	2108016.11951	37.76838903398777	-122.43238178946544	(37.76838903398777, -122.43238178946544)
22EXC-02058	LEAVENWORTH ST	PINE ST		Excavation	Bay Area Lightworks	415-822-2336	27 BRYANT TRANSIT RELIABILITY PROJECT, SOURCING EVENT ID NO. 0000005624	05/17/2022	APPROVED	25230000		05/20/2022	05/19/2023		415-822-2336	Mario Hernandez	true	6008181.40158	2115876.10036	37.79025428565522	-122.41555908675765	(37.79025428565522, -122.41555908675765)
22TOC-03728	07TH ST	CLEVELAND ST	HARRISON ST	TempOccup	Pacific Gas & Electric	510-332-6331		06/22/2022	APPROVED	373000	94103	06/28/2022	06/30/2022		800-743-5000			6010607.58305	2110602.40553	37.77591004080941	-122.40679280870853	(37.77591004080941, -122.40679280870853)
22EXC-01946	PACHECO ST	46TH AVE	47TH AVE	Excavation	Pacific Gas & Electric	415-695-3500	35190627R3 G GPRP RPL WEST SUNSET 3 SAN FRANCISC	06/22/2022	ACTIVE	10115000	94116	06/27/2022	01/27/2023		4156953500	Teresa McNamara		5981824.31908	2101480.38805	37.749211051112425	-122.50568348745267	(37.749211051112425, -122.50568348745267)
22EXC-02633	TARAVAL ST	LENOX WAY	WAWONA ST	Excavation	Pacific Gas & Electric	415-695-3500	45183602OCW REPV 95 TARAVAL ST SAN FRANCISCO	05/25/2022	ACTIVE	12383000	94116	06/13/2022	07/11/2022		4156953500	Teresa McNamara		5993462.78367	2099195.82536	37.743616325314626	-122.46527189488775	(37.743616325314626, -122.46527189488775)
22TOC-03619	30TH ST	CHURCH ST	CHURCH ST	TempOccup	Pacific Gas & Electric	415-695-3500		06/17/2022	APPROVED	1668000	94131	06/20/2022	06/25/2022		4156953500			6004606.85005	2098407.43701	37.74208795609864	-122.42668228852038	(37.74208795609864, -122.42668228852038)
22TOC-03615	SUNNYDALE AVE	SAWYER ST	HAHN ST	TempOccup	Pacific Gas & Electric	510-332-6331		06/17/2022	APPROVED	12266000	94134	06/23/2022	06/25/2022		Refer to Agent			6007602.0073	2087309.67988	37.71178478231785	-122.41554041186637	(37.71178478231785, -122.41554041186637)
22EXC-02905	JUSTIN DR	AGNON AVE	MURRAY ST	Excavation	Pacific Gas & Electric	510-332-6331	51 Justin Dr	06/14/2022	APPROVED	7719000	94112	07/18/2022	08/15/2022		(628) 222-0510 Eric Lei			6005730.468	2095485.496	37.734128436945326	-122.4225895791058	(37.734128436945326, -122.4225895791058)
22EXC-02977	16TH ST	OWENS ST		Excavation	CableCom	650-520-7091	1800 Owens St	06/14/2022	APPROVED	23784000	94158	06/27/2022	07/25/2022	1800 OWENS ST	650-544-4467	Rich Rozzi		6014629.01065	2107128.17939	37.766594775396285	-122.39263845164352	(37.766594775396285, -122.39263845164352)
21EXC-06060	CLAY ST	FREEMAN CT	WETMORE ST	Excavation	Esquivel Grading & Paving, Inc.	415-468 5700	Various Location Pavement Renovations No. 45 & Sewer Replacement	03/15/2022	APPROVED	4096000	94108	03/21/2022	10/20/2023		415-468-5700	Jesse Blea		6009770.0633	2117125.62499	37.79377434765323	-122.41015066497091	(37.79377434765323, -122.41015066497091)
22EXC-02829	04TH AVE	HUGO ST	IRVING ST	Excavation	Pacific Gas & Electric	510-332-6331	1284-1286 4TH AV	06/09/2022	ACTIVE	247000	94122	06/20/2022	07/18/2022		415-695-3500	Teresa McNamara		5994861.63596	2106859.94044	37.76474060402613	-122.46099041441722	(37.76474060402613, -122.46099041441722)
19IE-01107	COLTON ST	COLUSA PL		StrtImprov	A.R. Sanchez-Corea & Associates, Inc.	(415) 333-8080	Remove and reconstruct sidewalk and curb ramp(s) per approved plan, Additional paving and Pavement conforms to adjacent property as directed by City Inspector.   Field inspection is MANDATORY prior to excavation and pouring concrete, call 1-628-271-2000 or email dpw-bsminspects@sfdpw.org  to schedule to schedule. This permit is in conjunction with vault permit(s).	03/21/2022	ACTIVE	24396000	94103		09/15/2024	53 COLTON ST	Refer to Agent	Eric Walker		6006735.39083	2109634.68393	37.77303548881692	-122.42011905533451	(37.77303548881692, -122.42011905533451)
22EXC-02977	16TH ST	OWENS ST	07TH ST \ MISSISSIPPI ST	Excavation	CableCom	650-520-7091	1800 Owens St	06/14/2022	APPROVED	699001	94158	06/27/2022	07/25/2022	1800 OWENS ST	650-544-4467	Rich Rozzi		6014629.01065	2107128.17939	37.766594775396285	-122.39263845164352	(37.766594775396285, -122.39263845164352)
22PKT-00015	18TH ST	TEXAS ST	MISSOURI ST	Parklet	Farley's	415-846-2671	A 40' LONG PARKLET CONSISTING OF 24' LONG SLIP RESISTANT AND ACCESSIBLE CONCRETE PLANKING OVER 'BISON' STEEL DECK SUPPORT SYSTEM, WITH STEEL TUBE RAILING WITH STEEL CABLES 6in o.c.; ACCESS PANEL FOR CLEANING GUTTER AND AREA BELOW PARKLET; THREE (3) RISERS WITH ACCESSIBLE HANDRAILS AND 2in CONTRASTING STRIPING; ACCESSIBLE ENTRY TO PARKLET WITH 2in CONTRASTING STRIPING; ZINC CLAD COUNTER; TWO (2) RAISED METAL PLANTERS; AND ONE (1) WOOD SEAT ON EACH METAL PLANTER FOR USE BY THE GENERAL PUBLIC FRONTING THE SUBJECT PROPERTY.	01/24/2022	APPROVED	855000	94107	02/17/2022	02/16/2023	1315 18TH ST	(415) 307-3114			6013635.93969	2105654.09347	37.762492057739614	-122.39597002575378	(37.762492057739614, -122.39597002575378)
21EXC-06060	HEMLOCK ST	LARKIN ST		Excavation	Esquivel Grading & Paving, Inc.	415-468 5700	Various Location Pavement Renovations No. 45 & Sewer Replacement	03/15/2022	APPROVED	25173000		03/21/2022	10/20/2023		415-468-5700	Jesse Blea		6007350.15463	2114885.32595	37.78748710337919	-122.41836486747128	(37.78748710337919, -122.41836486747128)
22EXC-02984	21ST ST	CHATTANOOGA ST	CHURCH ST	Excavation	Bureau of Street & Sewer Repair	415-725-1506	IDC Grind and Pave	06/14/2022	APPROVED	1119000	94114	06/21/2022	07/10/2022		Refer to Agent			6004525.15898	2103667.89288	37.75652732891632	-122.42733939723321	(37.75652732891632, -122.42733939723321)
21EXC-06060	KEARNY ST	BAY ST	NORTH POINT ST \ THE EMBARCADERO	Excavation	Esquivel Grading & Paving, Inc.	415-468 5700	Various Location Pavement Renovations No. 45 & Sewer Replacement	03/15/2022	APPROVED	7776000	94133	03/21/2022	10/20/2023		415-468-5700	Jesse Blea		6010709.24	2121887.831	37.80690281050502	-122.40723687144845	(37.80690281050502, -122.40723687144845)
22EXC-03046	ANZAVISTA AVE	VEGA ST	TERRA VISTA AVE	Excavation	Pacific Gas & Electric	415-695-3500	Anza Vista - GPRP - 35095323	06/22/2022	APPROVED	2369000	94115	08/13/2022	11/18/2022		415-695-3500	Jondelle Bretz		5999468.262	2112504.873	37.78050417128683	-122.445463288621	(37.78050417128683, -122.445463288621)
22EXC-02952	PACHECO ST	28TH AVE	29TH AVE	Excavation	Pacific Gas & Electric	707-718-0296	2400 Pacheco st	06/16/2022	ACTIVE	10100000	94116	07/11/2022	08/08/2022		415-695-3500	Alejandro DelCalvo		5987407.75615	2101670.84021	37.750061009708546	-122.48639010288991	(37.750061009708546, -122.48639010288991)
22TOC-03415	HAIGHT ST	BUENA VISTA AVE	CENTRAL AVE	TempOccup	DPW-BSES	415-641-2626		06/07/2022	APPROVED	6616000	94117	06/01/2022	08/31/2022	1299 HAIGHT ST	415-695-2134			5999921.9539	2108805.83332	37.77037342443847	-122.44362795351539	(37.77037342443847, -122.44362795351539)
22EXC-03018	PIERCE ST	PAGE ST	OAK ST	Excavation	J. Flores Construction Co.	(415) 337-2934	Spot Sewer Replacement Contract WW-698, WO#64.2, 321 PIERCE ST x PAGE ST	06/17/2022	ACTIVE	10420000	94117	06/20/2022	07/03/2022	321 PIERCE ST	Oscar Delgadillo @ 510-867-0073	Ildefonso Viray		6002684.20503	2109708.85636	37.77301005638298	-122.43413789977133	(37.77301005638298, -122.43413789977133)
21EXC-00107	ALEMANY BLVD	I-280 N ON RAMP \ REGENT ST \ SAN JOSE AVE		Excavation	Precision Engineering, Inc.	415-350-7078	Various Locations Sewer Replacement No. 6	07/26/2021	ACTIVE	22460000		08/09/2021	10/07/2022		415-760-8718			5995579.14489	2086948.85272	37.71011090148905	-122.45706838842361	(37.71011090148905, -122.45706838842361)
21EXC-05915	DEWEY BLVD	PACHECO ST	CLAREMONT BLVD \ KENSINGTON WAY \ MONTALVO AVE \ TARAVAL ST	Excavation	D'Arcy and Harty Construction,Inc.	415 559 3325	San Francisco Various Location Pavement & Sewer Renovation No.48	03/09/2022	APPROVED	4735000	94116	02/28/2022	10/21/2023		415-559-3325			5994262.34534	2099558.94779	37.744659445609514	-122.46253356094167	(37.744659445609514, -122.46253356094167)
22EXC-02510	FULTON ST	SCOTT ST	DIVISADERO ST	Excavation	JDB Construction, INC.	(415) 6083135	Fulton and Grove St Pavement and Sewer Renovation	05/16/2022	APPROVED	5890000	94117	06/13/2022	12/09/2022		Refer to Agent	Jesse Blea		6001788.07059	2111166.67984	37.77696197390915	-122.43734214136094	(37.77696197390915, -122.43734214136094)
22TOC-03712	FREDERICK ST	DELMAR ST	ASHBURY ST	TempOccup	West Coast Arborists, Inc.	714-412-7656		06/22/2022	APPROVED	5847000	94117	06/27/2022	06/28/2022		408-855-8660			5999225.42534	2107690.66223	37.767271696287274	-122.44595701782086	(37.767271696287274, -122.44595701782086)
21EXC-06060	VARENNES ST	GREEN ST	UNION ST	Excavation	Esquivel Grading & Paving, Inc.	415-468 5700	Various Location Pavement Renovations No. 45 & Sewer Replacement	03/15/2022	APPROVED	13178000	94133	03/21/2022	10/20/2023		415-468-5700	Jesse Blea		6010813.25486	2119469.95351	37.80026972130186	-122.40670639949211	(37.80026972130186, -122.40670639949211)
22PKT-00011	24TH ST	SHOTWELL ST	SOUTH VAN NESS AVE	Parklet	Wise Sons Deli - 24th Street	415-787-3354	PRE-APPROVAL FOR LEGISLATED PROGRAM: Shared Spaces Fixed Commercial Parklet occupying approximately 39 linear feet in the roadway at 3150 24TH ST, on WEST side of SHOTWELL ST, from 25 feet to 64 feet NORTH of 24TH ST. Times of operation: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday between the hours of 8:00 AM and 8:00 PM.	06/14/2022	APPROVED	1341000	94110	06/14/2022	03/31/2023	3150 24TH ST	415-787-3354	Ariel Garcia		6007963.86212	2102149.29996	37.75255149632779	-122.41533960037695	(37.75255149632779, -122.41533960037695)
22TOC-03554	LOCUST ST	JACKSON ST	WASHINGTON ST	TempOccup	Sheedy Crane and Rigging	415-215-9009		06/14/2022	APPROVED	8422000	94118	06/28/2022	06/28/2022	100 LOCUST ST	415-648-7171			5997570.69787	2115996.86478	37.78998373332534	-122.45227987299724	(37.78998373332534, -122.45227987299724)
22EXC-02853	MAPLE ST	SACRAMENTO ST	CALIFORNIA ST	Excavation	Pacific Gas & Electric	(628) 241-8117	3773 Sacramento via Maple	06/07/2022	APPROVED	8682000	94118	06/27/2022	07/25/2022		415-695-3500	Jondelle Bretz		5996718.34035	2114808.84131	37.78667287305807	-122.45514305357955	(37.78667287305807, -122.45514305357955)
21EXC-04653	COLERIDGE ST	COSO AVE		Excavation	Cratus, Inc.	(415)939-2840	8-Inch DIP and 24-Inch ERDIP Water Main Installation On Prospect, Fair And Coso Avenues, And Coleridge Street (WD-2718)	02/14/2022	APPROVED	21303000		02/28/2022	11/24/2023		(800)850-1874	Rich Rozzi	true	6007100.50339	2099809.36368	37.74607799973151	-122.41815937111217	(37.74607799973151, -122.41815937111217)
19MSE-00647	MARKET ST	GUERRERO ST \ LAGUNA ST	BUCHANAN ST \ DUBOCE AVE	MinorEnc	Halyard, Inc.	415-570-3230	Existing outswinging door fronting 1900 Market St encroaching approximately 1' into the public right of way.	09/25/2019	ACTIVE	8761201	94102			1900 MARKET ST	415-520-7290	Mario Novoa		6005193.59503	2108780.74929	37.7706037994891	-122.4253915429267	(37.7706037994891, -122.4253915429267)
21MFF-00115	ARELIOUS WALKER DR	PALOU AVE	QUESADA AVE	FoodFac	Park's Catering	(408) 206-1105		12/09/2021	APPROVED	5582000	94124	01/16/2021	11/15/2022		Refer to Agent			6018532.1195	2092354.78785	37.72624601855937	-122.37811251145366	(37.72624601855937, -122.37811251145366)
22EXC-01946	48TH AVE	ORTEGA ST		Excavation	Pacific Gas & Electric	415-695-3500	35190627R3 G GPRP RPL WEST SUNSET 3 SAN FRANCISC	06/22/2022	ACTIVE	27925000		06/27/2022	01/27/2023		4156953500	Teresa McNamara	true	5981337.4581	2102143.56076	37.75100327055853	-122.50741622818711	(37.75100327055853, -122.50741622818711)
19IE-00743	ELLIS ST	04TH ST \ MARKET ST \ STOCKTON ST	POWELL ST	StrtImprov	NCM Concrete	(650) 520-5329	Proposed Street Improvement for Hotel Union Square storefront on Powell & Ellis St. Install level landings for store entrance and reconstruct sidewalk and curb/gutter. Saw-cut minimum 2’ for AC conform and replace with 2” ACWS over 8” concrete base. All work shall be done per city standards and as directed by City inspector.All work shall be performed per revised plan, dated 10/27/2021, prepared by Lea & Braze Engineering, Inc.	01/10/2022	ACTIVE	5169000	94102		05/04/2023	114 POWELL ST	(415)582-7728	Mario Novoa		6010404.69279	2114190.93856	37.78575195382514	-122.40774775274687	(37.78575195382514, -122.40774775274687)
22TOC-03725	GREEN ST	MASON ST	TAYLOR ST	TempOccup	Pacific Gas & Electric	510-332-6331		06/22/2022	APPROVED	6458000	94133	06/29/2022	06/29/2022		800-743-5000			6008954.84026	2119042.41943	37.7989916653178	-122.41310701984929	(37.7989916653178, -122.41310701984929)
22EXC-01237	GIRARD ST	FRATESSA CT	03RD ST \ SAN BRUNO AVE	Excavation	LC General Engineering & Construction	(415) 699-5875	SIRP 153 - Brussels	03/07/2022	ACTIVE	6209000	94134	03/08/2022	12/30/2022		(415) 699-5875	Nick Haase		6012175.976	2088820.534	37.71618934196526	-122.39983744314019	(37.71618934196526, -122.39983744314019)
22EXC-00859	HYDE ST	SUTTER ST	BUSH ST	Excavation	Esquivel Grading & Paving, Inc.	415-725-1878	As-Needed Pavement Renovation and Sewer Replacement No.13 -Contract Service Order #02	06/01/2022	APPROVED	7123000	94109	06/03/2022	08/31/2022		415-468-5700	Brian Wong		6007775.64033	2115297.95331	37.78864401955606	-122.41692201525449	(37.78864401955606, -122.41692201525449)
21WR-00074	BRIDGEVIEW DR	TOPEKA AVE	SCOTIA AVE \ THORNTON AVE	Wireless	GTE Mobilnet of California, Limited Partnership	415-989-1102		12/13/2021	APPROVED	3125000	94124	12/13/2021	09/30/2032	175 SCOTIA AVE	Refer to Agent			6012380.93301	2094573.82265	37.731998109987735	-122.39953270167169	(37.731998109987735, -122.39953270167169)
21EXC-06060	AUGUST ALY	GREEN ST	UNION ST	Excavation	Esquivel Grading & Paving, Inc.	415-468 5700	Various Location Pavement Renovations No. 45 & Sewer Replacement	03/15/2022	APPROVED	2546000	94133	03/21/2022	10/20/2023		415-468-5700	Jesse Blea		6009414.75175	2119280.35562	37.799670786986646	-122.41153238607994	(37.799670786986646, -122.41153238607994)
22SC-00359	BUSH ST	BRODERICK ST	BAKER ST	StorCont	ABF Freight Systems, Inc.	510-533-8575	one relo cube 6x7x8	06/14/2022	APPROVED	3458000	94115	06/29/2022	07/05/2022	2778 BUSH ST	510 533 8575			6000236.52858	2114473.21648	37.78595254857692	-122.44294689364801	(37.78595254857692, -122.44294689364801)
22EXC-02978	ELLIS ST	HYDE ST	LARKIN ST	Excavation	Pacific Gas & Electric	(628) 241-8117	Ellis btw Hyde & Larkin	06/14/2022	APPROVED	5177000	94109	07/11/2022	08/08/2022		415-695-3500	Marc Anthony Bura		6007753.02714	2113731.72976	37.7843422793314	-122.41688924337127	(37.7843422793314, -122.41688924337127)
22EXC-02977	OWENS ST	16TH ST	I-280 N OFF RAMP \ MARIPOSA ST	Excavation	CableCom	650-520-7091	1800 Owens St	06/14/2022	APPROVED	19999101	94158	06/27/2022	07/25/2022	1800 OWENS ST	650-544-4467	Rich Rozzi		6014629.01065	2107128.17939	37.766594775396285	-122.39263845164352	(37.766594775396285, -122.39263845164352)
21CN-00048	FARNUM ST	MORELAND ST	MOFFITT ST	conformity	Sean Quigley	(415) 824-1882 Ext-102		03/23/2021	ACTIVE	5413000	94131			162 FARNUM ST	(415) 824-1882 Ext-102	O'Brian Buchanan		6002437.74161	2097155.38868	37.73852724926879	-122.4340928895606	(37.73852724926879, -122.4340928895606)
22EXC-02781	27TH AVE	GEARY BLVD	ANZA ST	Excavation	Pacific Gas & Electric	510-332-6331	576 27TH AVE	06/14/2022	APPROVED	1547000	94121	07/05/2022	08/02/2022		415-695-3500	Teresa McNamara		5987510.95423	2112219.64233	37.77903112856877	-122.48680778307954	(37.77903112856877, -122.48680778307954)
22S-00074	21ST ST	SHOTWELL ST	SOUTH VAN NESS AVE	SideSewer	Atlas Plumbing and Rooter	6508719863	Repair existing side sewer.	06/13/2022	ACTIVE	1106000	94110	06/20/2022	07/11/2022	3085 21ST ST	415-845-9199	O'Brian Buchanan		6007746.13454	2103802.61194	37.75707887476981	-122.41620962628805	(37.75707887476981, -122.41620962628805)
22TC-00001	KING ST	03RD ST	04TH ST	TableChair	Lucky Strike	316-685-1622	To occupy public right of way with 7 tables and 24 chairs @ 200 King St.	01/14/2022	APPROVED	7833201	94107	03/16/2022	03/15/2023	200 KING ST	Refer to Agent			6014483.02527	2111149.05066	37.77762708456163	-122.3934248120574	(37.77762708456163, -122.3934248120574)
22EXC-01946	46TH AVE	NORIEGA ST	ORTEGA ST	Excavation	Pacific Gas & Electric	415-695-3500	35190627R3 G GPRP RPL WEST SUNSET 3 SAN FRANCISC	06/22/2022	ACTIVE	2026000	94122	06/27/2022	01/27/2023		4156953500	Teresa McNamara		5981945.24644	2102503.96303	37.752028617014815	-122.50534118146425	(37.752028617014815, -122.50534118146425)
21EXC-02263	OCTAVIA ST	PACIFIC AVE	BROADWAY	Excavation	R & S Construction Management Inc	(415) 746-9564	#1000011947 As-Needed Localized Concrete Panel Replacement No. 1 CSO#2	10/20/2021	APPROVED	9896000	94109	11/15/2021	07/13/2022		415-746-9564	Ben Leung		6004547.42215	2117550.37783	37.794646492144025	-122.42825176615564	(37.794646492144025, -122.42825176615564)
22EXC-00823	LOCUST ST	PACIFIC AVE	JACKSON ST	Excavation	Esquivel Grading & Paving, Inc.	415-725-1878	VArious LOcations Pavement Renovation No. 38 and Sewer Replacement Contract ID NO.1000012522	02/09/2022	APPROVED	8421000	94118	02/24/2022	08/26/2022		415-468-5700	Brian Wong		5997496.80096	2116199.07331	37.79053471031209	-122.45255014755779	(37.79053471031209, -122.45255014755779)
22PKT-00064	22ND ST	SAN JOSE AVE	GUERRERO ST	Parklet	Luna Rienne Gallery	(415) 374-0220	A 26' LONG PARKLET CONSISTING OF A  16'-6in LONG SLIP RESISTANT AND ACCESSIBLE EXTERIOR GRADE PLYWOOD DECK WITH 2 STEEL ANGLE BRACKETS AT THE CURB AND ROADWAY FOR LEVEL INSTALLATION AND A STEEL CHANNEL BELOW; A 1'-0in WIDE ACCESS PANEL FOR CLEANING GUTTER AND AREA BELOW PARKLET; FIVE (5) FINISHED METAL WRAPPING PLANTER BOXES FOR USE BY THE GENERAL PUBLIC FRONTING THE SUBJECT PROPERTY.	02/28/2022	APPROVED	1194000	94110	02/28/2022	02/16/2023	3318 22ND ST	Refer to Agent	Geyona Dean		6006198.34138	2103223.71185	37.75540219667699	-122.42152138206492	(37.75540219667699, -122.42152138206492)
21MFF-00118	CESAR CHAVEZ ST	03RD ST	TENNESSEE ST	FoodFac	Natan's Catering	415-244-3845		12/16/2021	APPROVED	2468000	94124	01/16/2021	11/15/2022		Natan Rozenfeld: 415-244-3845			6015835.88923	2101145.53595	37.750234663720036	-122.388046499994	(37.750234663720036, -122.388046499994)
22EXC-02356	STILLINGS AVE	MARTHA AVE	NORDHOFF ST	Excavation	Pacific Gas & Electric	707-718-0296	95 Nordhoff st	05/23/2022	ACTIVE	12187000	94131	06/13/2022	07/11/2022		415-695-3500	Jonjo Diase		6000417.14349	2095694.91585	37.73440224910178	-122.4409743818305	(37.73440224910178, -122.4409743818305)
22EXC-02983	CASTRO ST	19TH ST	20TH ST	Excavation	Pacific Gas & Electric	707-718-0296	602 Castro	06/14/2022	APPROVED	3792000	94114	08/03/2022	08/31/2022		415-695-3500	Jondelle Bretz		6002390.60845	2104425.95881	37.75848784361374	-122.4347756316695	(37.75848784361374, -122.4347756316695)
22EXC-02908	OFARRELL ST	FILLMORE ST	STEINER ST	Excavation	CableCom	650-520-7091	1795 O'Farrell St.	06/14/2022	APPROVED	9738000	94115	06/17/2022	07/15/2022	1795 OFARRELL ST	650-544-4467	Jondelle Bretz		6002765.93223	2113340.69588	37.78298681862658	-122.43411487037889	(37.78298681862658, -122.43411487037889)
21EXC-06060	FILBERT ST	BOB KAUFMAN ALY	GRANT AVE	Excavation	Esquivel Grading & Paving, Inc.	415-468 5700	Various Location Pavement Renovations No. 45 & Sewer Replacement	03/15/2022	APPROVED	5498000	94133	03/21/2022	10/20/2023		415-468-5700	Jesse Blea		6010560.46145	2119956.361	37.80159112993264	-122.40761548229094	(37.80159112993264, -122.40761548229094)
